word,word,sig
:,Richter,52.92
Richter,:,52.92
Fußball-National-Mannschaft,deutsche,52.88
deutsche,Fußball-National-Mannschaft,52.88
anderen,Parteien,52.88
Parteien,anderen,52.88
Bayern München,FC,52.87
FC,Bayern München,52.87
Am,Am Anfang,52.86
Am Anfang,Am,52.86
Mark Webber,Vettel,52.85
Vettel,Mark Webber,52.85
wurde,Jahre,52.84
Jahre,wurde,52.84
schoss,noch ein,52.83
noch ein,schoss,52.83
spielen,Mannschaften,52.76
Mannschaften,spielen,52.76
Euro,mehr als,52.74
mehr als,Euro,52.74
für,zuständig,52.72
zuständig,für,52.72
In,der,52.67
Jahren,vielen,52.67
vielen,Jahren,52.67
der,In,52.67
Dortmund,zu 2,52.56
zu 2,Dortmund,52.56
In,begonnen,52.54
begonnen,In,52.54
genau,,,52.52
,,genau,52.52
Euro,bekommt,52.5
bekommt,Euro,52.5
Tagen,letzten,52.46
steht,auf,52.46
auf,steht,52.46
letzten,Tagen,52.46
gibt,seit,52.44
seit,gibt,52.44
Viertel-Finale,Dortmund,52.39
Dortmund,Viertel-Finale,52.39
schreiben,lesen,52.39
lesen,schreiben,52.39
Der,Fußball-Verein,52.28
Fußball-Verein,Der,52.28
Am,Montag,52.27
wird,,,52.27
Montag,Am,52.27
,,wird,52.27
kein,Zuhause,52.26
Zuhause,kein,52.26
was,wissen,52.26
wissen,was,52.26
In,Deutschland,52.25
Deutschland,In,52.25
steht fest,fest,52.2
Vater,Vater Peter,52.2
fest,steht fest,52.2
Berlusconi,Silvio,52.2
Berlusconi,Silvio Berlusconi,52.2
Silvio,Berlusconi,52.2
Vater Peter,Vater,52.2
Silvio Berlusconi,Berlusconi,52.2
Wulff,Bundes-Präsident,52.17
Bundes-Präsident,Wulff,52.17
gesammelt,Fahrer,52.17
Fahrer,gesammelt,52.17
Ich,freue,52.12
freue,Ich,52.12
noch nicht,Ob,52.09
Ob,noch nicht,52.09
Zukunft,in,52.08
in,Zukunft,52.08
darf,mitspielen,52.08
mitspielen,darf,52.08
den,in den letzten Jahren,52.05
in den letzten Jahren,den,52.05
hat,:,52.02
:,hat,52.02
Dienstag,August,52.01
Tore,Spieler,52.01
August,Dienstag,52.01
Spieler,Tore,52.01
Manager,Deutschen Bahn,52
Deutschen Bahn,Manager,52
,,damit,51.86
damit,,,51.86
Geld sparen,sparen,51.79
suchen nach,suchen,51.79
sparen,Geld sparen,51.79
suchen,suchen nach,51.79
Verein,München,51.77
München,Verein,51.77
eingesetzt,sich,51.72
sich,eingesetzt,51.72
Die Erde,gewackelt,51.71
Ferguson,Alex Ferguson,51.71
Gregor,Gysi,51.71
Woidke,Dietmar Woidke,51.71
Gefahr,in Gefahr,51.71
Süden,im Süden von,51.71
Susanne Gaschke,Susanne,51.71
Timberlake,Justin,51.71
Marco,Reus,51.71
Winterspielen,Olympischen Winterspielen,51.71
2-Cent-Münzen,1-,51.71
Fernando Alonso,Fernando,51.71
im Süden,Süden,51.71
Timberlake,Justin Timberlake,51.71
Depardieu,Gérard Depardieu,51.71
Open,French Open,51.71
Domingo,Placido,51.71
Grillo,Beppe,51.71
Dietmar,Woidke,51.71
Ferguson,Alex,51.71
Mitt,Romney,51.71
andere Möglichkeit,Möglichkeit,51.71
Woidke,Dietmar,51.71
Stadt Genf,Genf,51.71
Gérard Depardieu,Depardieu,51.71
Großer Preis,Großer,51.71
Gregor Gysi,Gregor,51.71
Süden,im Süden,51.71
Reus,Marco,51.71
Dietmar Woidke,Woidke,51.71
Beppe,Grillo,51.71
French,Open,51.71
Gysi,Gregor,51.71
kurze,kurze Zeit,51.71
unter Druck setzen,Druck,51.71
Fernando,Fernando Alonso,51.71
Mitt Romney,Romney,51.71
Rusnok,Jiří,51.71
Marco,Marco Reus,51.71
lesbische,schwule,51.71
Petersburg,Sankt,51.71
bestand,bestand aus,51.71
übernehmen,die Macht übernehmen,51.71
Alonso,Fernando,51.71
Depardieu,Gérard,51.71
kurze Zeit,kurze,51.71
Olympischen Winterspielen,Winterspielen,51.71
Open,French,51.71
Zugänge,heimlichen,51.71
Grand Canyon,Grand,51.71
Grillo,Beppe Grillo,51.71
ums Leben,ums,51.71
Spieler,schoss,51.71
Per Mertesacker,Mertesacker,51.71
Marco Reus,Marco,51.71
1-,2-Cent-Münzen,51.71
Fernando,Alonso,51.71
Susanne,Susanne Gaschke,51.71
Mertesacker,Per Mertesacker,51.71
Gérard,Depardieu,51.71
Romney,Mitt Romney,51.71
Jörg Kachelmann,Kachelmann,51.71
in Gefahr,Gefahr,51.71
Justin,Timberlake,51.71
Mertesacker,Per,51.71
Gregor,Gregor Gysi,51.71
Romney,Mitt,51.71
Thomas Schneider,Schneider,51.71
Genf,Stadt Genf,51.71
Kachelmann,Jörg Kachelmann,51.71
die Macht übernehmen,übernehmen,51.71
Sankt,Sankt Petersburg,51.71
Alex Ferguson,Ferguson,51.71
im Süden von,Süden,51.71
schoss,Spieler,51.71
Sankt,Petersburg,51.71
Sankt Petersburg,Sankt,51.71
Pierre,Lemaitre,51.71
bestand aus,bestand,51.71
Gaschke,Susanne Gaschke,51.71
Susanne Gaschke,Gaschke,51.71
Möglichkeit,andere Möglichkeit,51.71
Großer,Großer Preis,51.71
Obergföll,Christina,51.71
Matthias Platzeck,Matthias,51.71
Grand,Grand Canyon,51.71
Alex,Ferguson,51.71
ums,ums Leben,51.71
Justin Timberlake,Timberlake,51.71
Placido,Domingo,51.71
schwule,lesbische,51.71
heimlichen,Zugänge,51.71
Grand,Canyon,51.71
Schneider,Thomas Schneider,51.71
Canyon,Grand,51.71
Matthias,Matthias Platzeck,51.71
Per,Mertesacker,51.71
gewackelt,Die Erde,51.71
Lemaitre,Pierre,51.71
Jiří,Rusnok,51.71
French Open,Open,51.71
Druck,unter Druck setzen,51.71
Beppe Grillo,Grillo,51.71
Christina,Obergföll,51.71
Heynckes,Trainer,51.67
Trainer,Heynckes,51.67
in der Stadt,statt,51.63
wieder,Immer wieder,51.63
Immer wieder,wieder,51.63
statt,in der Stadt,51.63
3,mit,51.59
mit,3,51.59
Der,Trainer,51.57
Trainer,Der,51.57
zurück,tritt,51.55
toten,Schweine,51.55
tritt,zurück,51.55
Schweine,toten,51.55
Eltern,Kinder,51.53
Kinder,Eltern,51.53
Züge,fahren,51.53
fahren,Züge,51.53
Straße,die,51.52
die,Straße,51.52
50,Jahren,51.45
Jahren,50,51.45
Am,Oktober,51.43
Oktober,Am,51.43
Sie,haben,51.43
haben,Sie,51.43
Dortmund,gewonnen,51.41
gewonnen,Dortmund,51.41
Streik,Gewerkschaft,51.39
Gewerkschaft,Streik,51.39
adoptieren,Kinder,51.37
Kinder,adoptieren,51.37
am,Dezember,51.36
Dezember,am,51.36
Mannschaft,Toren,51.35
Toren,Mannschaft,51.35
Michael,Ballack,51.34
Ballack,Michael,51.34
im,Sommer,51.3
Sommer,im,51.3
Ende,gegangen,51.28
gegangen,Ende,51.28
Dschasira,”,51.2
Al Dschasira,”,51.2
”,Al,51.2
Al,”,51.2
”,Al Dschasira,51.2
”,Dschasira,51.2
früher,wie früher,51.17
Spieler,geschossen,51.17
geschossen,Spieler,51.17
wie früher,früher,51.17
”,Englisch,51.11
Englisch,”,51.11
haben nicht,nicht,51.09
nicht,nicht frei,51.09
nicht frei,nicht,51.09
nicht,will nicht,51.09
nicht,haben nicht,51.09
will nicht,nicht,51.09
nicht,dürfen nicht,51.09
dürfen nicht,nicht,51.09
verdienen,viel Geld verdienen,51.02
berühmter,Komponist,51.02
viel Geld verdienen,verdienen,51.02
Komponist,berühmter,51.02
Vertrag,schließen,50.89
Leinemann,Jürgen,50.89
Jürgen,Leinemann,50.89
schließen,Vertrag,50.89
dass,dafür,50.87
dafür,dass,50.87
Vettel,Mark,50.86
Mark,Vettel,50.86
dem,Bundes-Land,50.83
Bundes-Land,dem,50.83
Montag,August,50.82
August,Montag,50.82
1,Mannschaft,50.79
Mannschaft,1,50.79
Sebastian,1,50.77
1,Sebastian,50.77
bezahlt,zu wenig,50.76
zu wenig,bezahlt,50.76
,,denen,50.76
denen,,,50.76
2,mit,50.73
mit,2,50.73
Bundes-Trainer,Löw,50.72
Löw,Bundes-Trainer,50.72
Bundesliga,1.,50.71
1.,Bundesliga,50.71
weniger,zahlen,50.7
zahlen,weniger,50.7
darüber,verhandeln,50.68
verhandeln,darüber,50.68
Wagner,Opern,50.67
Opern,Wagner,50.67
Dazu gehören,Dazu,50.66
Namen,Namen von,50.66
100,mehr als 100,50.66
Dazu,Dazu gehören,50.66
mehr als 100,100,50.66
Namen von,Namen,50.66
steht,Gesetz,50.65
Film,Berlinale,50.65
Gesetz,steht,50.65
Berlinale,Film,50.65
Doping-Mittel,genommen,50.64
75,Jahre alt,50.64
Jahre alt,75,50.64
genommen,Doping-Mittel,50.64
Oskar,Lafontaine,50.59
Lafontaine,Oskar,50.59
Flüsse,Ufer,50.59
Ufer,Flüsse,50.59
Dortmund,hat,50.5
hat,Dortmund,50.5
seiner,Wohnung,50.47
Manuel,Torwart,50.47
Torwart,Manuel,50.47
Organisationen,Büros,50.47
Büros,Organisationen,50.47
Wohnung,seiner,50.47
Streit,Darüber,50.45
Darüber,Streit,50.45
man,weiß,50.42
weiß,man,50.42
Paare,lesbische,50.32
lesbische,Paare,50.32
etwa so,etwa,50.32
etwa,etwa so,50.32
Menschen,finden,50.29
finden,Menschen,50.29
:,ich,50.28
ich,:,50.28
im,Gefängnis,50.11
Gefängnis,im,50.11
Sie,:,50.05
:,Sie,50.05
oder,Beispiel,50.04
3,0,50.04
Beispiel,oder,50.04
0,3,50.04
1.,Formel,50.02
Formel,1.,50.02
,,passiert,50.02
passiert,,,50.02
droht,Nord-Korea,50
schwer,schwer krank,50
schwer,schwer verletzt,50
schwer krank,schwer,50
schwer verletzt,schwer,50
Nord-Korea,droht,50
3,Spiel,49.96
Spiel,3,49.96
Formel,der,49.95
Film-Festival,Berlinale,49.95
Berlinale,Film-Festival,49.95
der,Formel,49.95
ausgegeben,viel Geld,49.91
viel Geld,ausgegeben,49.91
Angst,Menschen,49.87
Menschen,Angst,49.87
Mannschaft,Champions,49.87
Champions,Mannschaft,49.87
auf der ganzen Welt,der,49.85
der,auf der ganzen Welt,49.85
unentschieden,zu 1,49.84
zu 1,unentschieden,49.84
sehen,kann,49.82
kann,sehen,49.82
Fußball-Verein,Dortmund,49.76
Dortmund,Fußball-Verein,49.76
,,noch,49.73
noch,,,49.73
3. Oktober,3.,49.68
Januar,27. Januar,49.68
3.,3. Oktober,49.68
27. Januar,Januar,49.68
3.,3. Liga,49.68
3. Liga,3.,49.68
dürfen,Meinung,49.65
Meinung,dürfen,49.65
Halbzeit,zweiten,49.63
zweiten,Halbzeit,49.63
kann,weiter regieren,49.61
weiter regieren,kann,49.61
seit,gibt es,49.6
gibt es,seit,49.6
Chefs,Die,49.59
Die,Chefs,49.59
,,Sie,49.57
Sie,,,49.57
“,des,49.53
des,“,49.53
etwas,So etwas,49.51
So etwas,etwas,49.51
Texte,schreiben,49.5
schreiben,Texte,49.5
Cristiano Ronaldo,Ronaldo,49.48
Daran,gestorben,49.48
Berthold Beitz,Beitz,49.48
Hitzlsperger,Thomas Hitzlsperger,49.48
Armbruster,Jörg Armbruster,49.48
größer,größer als,49.48
Decken,Zelte,49.48
Lionel Messi,Messi,49.48
Räikkönen,Kimi Räikkönen,49.48
Klasse,1. Klasse,49.48
Ronaldo,Cristiano,49.48
Thomas Hitzlsperger,Hitzlsperger,49.48
Computer Club,Club,49.48
größer als,größer,49.48
Chaos Computer,Club,49.48
Messi,Lionel,49.48
Lionel,Messi,49.48
Zelte,Decken,49.48
Ronaldo,Cristiano Ronaldo,49.48
Brüder Grimm,Grimm,49.48
Kipsang,Wilson,49.48
Jahr 2000,2000,49.48
Messi,Lionel Messi,49.48
1. Klasse,Klasse,49.48
Jörg Armbruster,Armbruster,49.48
Kimi Räikkönen,Räikkönen,49.48
Club,Chaos Computer,49.48
Beitz,Berthold,49.48
Grimm,Brüder Grimm,49.48
Viktor Janukowitsch,Viktor,49.48
Wilson,Kipsang,49.48
Räikkönen,Kimi,49.48
Cristiano,Ronaldo,49.48
Club,Computer Club,49.48
2000,Jahr 2000,49.48
Berthold,Beitz,49.48
Kimi,Räikkönen,49.48
Zeman,Milos,49.48
Beitz,Berthold Beitz,49.48
Club,Chaos Computer Club,49.48
Brüder,Brüder Grimm,49.48
Brüder Grimm,Brüder,49.48
Chaos Computer Club,Club,49.48
gestorben,Daran,49.48
Milos,Zeman,49.48
Viktor,Viktor Janukowitsch,49.48
gehen,in Rente,49.45
in Rente,gehen,49.45
Zeit,zur,49.44
zur,Zeit,49.44
alt,75,49.38
Stadt London,London,49.38
Oktober,3. Oktober,49.38
London,Stadt London,49.38
3. Oktober,Oktober,49.38
75,alt,49.38
Mannschaft,League,49.35
League,Mannschaft,49.35
Welt-Meister,Vettel,49.33
Vettel,Welt-Meister,49.33
statt,Jahr,49.31
Jahr,statt,49.31
Europäischen Union,enger,49.19
Jane,Jim,49.19
enger,Europäischen Union,49.19
Jim,Jane,49.19
Doktor-Titel,ihren,49.16
meisten,die,49.16
ihren,Doktor-Titel,49.16
die,meisten,49.16
ich,sagte,49.12
sagte,ich,49.12
erreichte,Platz,49.11
Platz,erreichte,49.11
April,30. April,49.09
deutscher,Handball-Meister,49.09
30. April,April,49.09
Handball-Meister,deutscher,49.09
Das,Das Parlament,49.06
Das Parlament,Das,49.06
zu 1,2,49.04
2,zu 1,49.04
Frankreich,aus,48.99
aus,Frankreich,48.99
Guardian,„,48.93
„,Guardian,48.93
der,Wahl,48.92
Wahl,der,48.92
lange,sehr,48.88
sehr,lange,48.88
bei,Olympischen,48.85
Olympischen,bei,48.85
auf dem Schiff,Schiff,48.81
Sozial-Tourismus,Wort,48.81
gefährlich für,gefährlich,48.81
Schiff,auf dem Schiff,48.81
Wort,Sozial-Tourismus,48.81
gefährlich,gefährlich für,48.81
Formel 1,Renn-Fahrer,48.78
wollen,machen,48.78
machen,wollen,48.78
Renn-Fahrer,Formel 1,48.78
abgeschaltet,ERT,48.67
gleichen,die,48.67
ERT,abgeschaltet,48.67
die,gleichen,48.67
Euro,zahlen,48.64
zahlen,Euro,48.64
Geld,dafür,48.64
dafür,Geld,48.64
einem,vor einem,48.61
vor einem,einem,48.61
Den,Preis,48.58
Birma,Tages-Zeitungen,48.58
Tages-Zeitungen,Birma,48.58
Preis,Den,48.58
gilt,gilt als,48.53
gilt als,gilt,48.53
bester,Als,48.51
Als,bester,48.51
0,Spiel,48.45
so,so etwas,48.45
so etwas,so,48.45
Spiel,0,48.45
Renn-Fahrer,Formel,48.44
Formel,Renn-Fahrer,48.44
will,mehr,48.42
mehr,will,48.42
,,haben,48.42
haben,,,48.42
dass,hoffen,48.39
hoffen,dass,48.39
Die Soldaten,Die,48.38
Die,Die Soldaten,48.38
Schalke,gegen,48.37
gegen,Schalke,48.37
machen,Werbung,48.35
Werbung,machen,48.35
kam,Ziel,48.3
Ziel,kam,48.3
ins,ins Ausland,48.28
ins Ausland,ins,48.28
sehr schlecht,schlecht,48.27
1″,Formel,48.27
schlecht,sehr schlecht,48.27
Formel,1″,48.27
protestieren,Menschen,48.26
Menschen,protestieren,48.26
Ufer,getreten,48.26
getreten,Ufer,48.26
ein,war,48.18
“,nach,48.18
nach,“,48.18
war,ein,48.18
Juni,am,48.12
am,Juni,48.12
entscheiden,ob,48.12
ob,entscheiden,48.12
Mannschaft,München,48.11
München,Mannschaft,48.11
gewonnen,Gold-Medaille,48.11
Gold-Medaille,gewonnen,48.11
Regierungs-Chef,Enrico Letta,48.07
Fernseh-Sender,Radio-,48.07
Fest,dauert,48.07
dauert,Fest,48.07
Radio-,Fernseh-Sender,48.07
Enrico Letta,Regierungs-Chef,48.07
mehr,,,48.06
,,mehr,48.06
frei gelassen,frei,48.02
gerade,wird gerade,48.02
frei,frei gelassen,48.02
wird gerade,gerade,48.02
gewonnen,Bayern,48.01
Bayern,gewonnen,48.01
Jahre alt,80,47.97
80,Jahre alt,47.97
gespielt,Dortmund,47.94
ging,unentschieden,47.94
unentschieden,ging,47.94
Dortmund,gespielt,47.94
Leipzig,Stadt,47.93
Stadt,Leipzig,47.93
nicht,Aber,47.91
Damit,er,47.91
er,Damit,47.91
Aber,nicht,47.91
Wenn,sie,47.9
sie,Wenn,47.9
Platz,steht,47.9
steht,Platz,47.9
Himmel,in den Himmel,47.89
Song Contest,Musik-Wettbewerb,47.89
Timoschenko,Julia Timoschenko,47.89
Musik-Wettbewerb,Song,47.89
Arm,Hitler-Gruß,47.89
Benjamin Netanjahu,Netanjahu,47.89
Musik-Wettbewerb,Eurovision Song Contest,47.89
Maduro,Nicolas,47.89
Musik-Wettbewerb,Contest,47.89
Musik-Wettbewerb,Eurovision Song,47.89
Benjamin,Netanjahu,47.89
Netanjahu,Benjamin Netanjahu,47.89
Chaos Computer Club,Chaos,47.89
Musik-Wettbewerb,Song Contest,47.89
Jörg Kachelmann,Jörg,47.89
erhöhen,Steuern erhöhen,47.89
kleines Stück,kleines,47.89
Eurovision,Musik-Wettbewerb,47.89
Contest,Musik-Wettbewerb,47.89
Steuern erhöhen,erhöhen,47.89
Charles,Pollock,47.89
Song,Musik-Wettbewerb,47.89
Julia Timoschenko,Timoschenko,47.89
in den Himmel,Himmel,47.89
Nicolas,Maduro,47.89
Bundeskanzlerin,Bundeskanzlerin Angela Merkel,47.89
Musik-Wettbewerb,Eurovision,47.89
Jörg,Jörg Armbruster,47.89
Bundeskanzlerin Angela Merkel,Bundeskanzlerin,47.89
Eurovision Song,Musik-Wettbewerb,47.89
Chaos,Chaos Computer,47.89
Jörg Armbruster,Jörg,47.89
Hitler-Gruß,Arm,47.89
Chaos Computer,Chaos,47.89
kleines,kleines Stück,47.89
Hand,in der Hand,47.89
Netanjahu,Benjamin,47.89
Nyad,Diana,47.89
Diana,Nyad,47.89
Chaos,Computer Club,47.89
Chaos,Chaos Computer Club,47.89
Räuber,Die Räuber,47.89
in der Hand,Hand,47.89
verschmutzt,Öl,47.89
Komitee,Olympischen Komitee,47.89
Jörg,Jörg Kachelmann,47.89
Olympischen Komitee,Komitee,47.89
Pollock,Charles,47.89
Computer Club,Chaos,47.89
Öl,verschmutzt,47.89
Eurovision Song Contest,Musik-Wettbewerb,47.89
Die Räuber,Räuber,47.89
Links-Partei,Grünen,47.85
Grünen,Links-Partei,47.85
am,Dienstag,47.81
Radio-Sender,Deutschlandfunk,47.81
Deutschlandfunk,Radio-Sender,47.81
Dienstag,am,47.81
arm,sehr,47.8
sehr,arm,47.8
Stadt Frankfurt,am,47.79
am,Stadt Frankfurt,47.79
Erde,Die Erde,47.77
Die Erde,Erde,47.77
teilnehmen,an,47.69
an das,an,47.69
an,an der Universität,47.69
an der Universität,an,47.69
an,teilnehmen,47.69
an,an das,47.69
wie,aussehen,47.64
darüber,streiten,47.64
aussehen,wie,47.64
wie,und wie,47.64
streiten,darüber,47.64
und wie,wie,47.64
Saudi-Arabien,Auto,47.62
Auto,Saudi-Arabien,47.62
teil,nehmen,47.62
nehmen,teil,47.62
8,mindestens,47.61
mindestens,8,47.61
es ist,es,47.6
es,es ist,47.6
Europäischen Parlament,Europäischen,47.53
Europäischen,Europäischen Parlament,47.53
Ägypten,Land,47.52
Land,Ägypten,47.52
daran,erinnern,47.52
erinnern,daran,47.52
wurde,geboren,47.51
geboren,wurde,47.51
leiden,unter,47.5
unter,leiden,47.5
Die,Partei,47.48
Partei,Die,47.48
bedeutet,Deutsch,47.46
Deutsch,bedeutet,47.46
verurteilt,Manning,47.45
Manning,verurteilt,47.45
FC,Bayern,47.44
das erste Mal,Mal,47.44
Bayern,FC,47.44
erste Mal,Mal,47.44
Mal,erste Mal,47.44
Mal,das erste Mal,47.44
Geld,wenig,47.43
wenig,Geld,47.43
Bei,dem,47.42
dem,Bei,47.42
als,Millionen,47.41
Millionen,als,47.41
1,2,47.41
2,1,47.41
Doktor,sich,47.4
sich,Doktor,47.4
Olympischen,den,47.38
den,Olympischen,47.38
der,war,47.36
war,der,47.36
“,Dschasira,47.33
“,Al,47.33
Al Dschasira,“,47.33
Dschasira,“,47.33
“,Al Dschasira,47.33
!,“,47.33
Al,“,47.33
“,!,47.33
Winter-Spielen,den,47.31
den,Winter-Spielen,47.31
Tage,Fest,47.27
Fest,Tage,47.27
sehr alt,sehr,47.25
sehr,sehr alt,47.25
enger,Europäischen,47.22
Europäischen,enger,47.22
Gay,Powell,47.21
Powell,Gay,47.21
Pep,Guardiola,47.21
Florida,geschwommen,47.21
Guardiola,Pep,47.21
Gaschke,Susanne,47.21
geschwommen,Florida,47.21
Susanne,Gaschke,47.21
Gast-Land,Buch-Messe,47.2
Schloss,wieder aufgebaut,47.2
wieder aufgebaut,Schloss,47.2
Buch-Messe,Gast-Land,47.2
Bayern,Verein,47.2
Verein,Bayern,47.2
Frankfurter,Buch-Messe,47.2
Buch-Messe,Frankfurter,47.2
Über,Streit,47.19
Streit,Über,47.19
seit,seit langer Zeit,47.18
seit langer Zeit,seit,47.18
Die Chefs,von,47.15
von,Die Chefs,47.15
Dopingmittel,Lance Armstrong,47.14
Lance,Dopingmittel,47.14
Dopingmittel,Lance,47.14
Lance Armstrong,Dopingmittel,47.14
Film,bester,47.11
berühmter,war,47.11
bester,Film,47.11
war,berühmter,47.11
Enrico,Regierungs-Chef,47.1
Regierungs-Chef,Enrico,47.1
Zeit,seit langer Zeit,47.09
seit langer Zeit,Zeit,47.09
von,Regierung,47.08
Regierung,von,47.08
gegen,3,47.08
3,gegen,47.08
Leichte Sprache,Sprache,47.07
Februar,7. Februar,47.07
Verein Deutsche Sprache,Sprache,47.07
Sprache,Deutsche Sprache,47.07
Sprache,Leichte,47.07
7. Februar,Februar,47.07
Leichte,Sprache,47.07
Deutsche Sprache,Sprache,47.07
Sprache,Leichte Sprache,47.07
Sprache,Verein Deutsche Sprache,47.07
welche,entscheidet,47.04
entscheidet,welche,47.04
und,Radio-,47.03
Radio-,und,47.03
Radio,Fernsehen,47
Fernsehen,Radio,47
das,nicht,46.98
nicht,das,46.98
sich,treffen,46.95
treffen,sich,46.95
für,wichtig,46.91
wichtig,für,46.91
Bundes-Liga,der,46.9
der,Bundes-Liga,46.9
schwer krank,krank,46.85
krank,schwer krank,46.85
An,teilgenommen,46.84
teilgenommen,An,46.84
Google,Yahoo,46.83
Nelson Mandela,Süd-Afrika,46.83
Nelson,Süd-Afrika,46.83
fertig,Flughafen,46.83
vor einem,vor,46.83
vor,vor einem,46.83
Flughafen,fertig,46.83
Süd-Afrika,Nelson,46.83
Süd-Afrika,Nelson Mandela,46.83
Yahoo,Google,46.83
gut,,,46.78
,,gut,46.78
am,Stadt,46.72
Stadt,am,46.72
zusammen,eng,46.71
eng,zusammen,46.71
Parteien,regieren,46.67
regieren,Parteien,46.67
Graf,Peter Graf,46.65
dritten Mal,dritten,46.65
Shakespeare,William,46.65
William,William Shakespeare,46.65
dritten,dritten Mal,46.65
Castorf,Frank,46.65
Frank Castorf,Frank,46.65
Berliner Mauer,Mauer,46.65
Augen,Gas,46.65
Frank Pöpsel,Frank,46.65
William,Shakespeare,46.65
Matteo,Renzi,46.65
Berliner Mauer,Berliner,46.65
Frank,Pöpsel,46.65
Berliner,Berliner Mauer,46.65
William Shakespeare,William,46.65
Pöpsel,Frank,46.65
Gas,Augen,46.65
Frank,Frank Castorf,46.65
Fifa,Fußball-Welt-Verband,46.65
Peter Graf,Graf,46.65
Renzi,Matteo,46.65
Frank,Castorf,46.65
Fußball-Welt-Verband,Fifa,46.65
Frank,Frank Pöpsel,46.65
Mauer,Berliner Mauer,46.65
mehr,nichts mehr,46.57
nichts mehr,mehr,46.57
er,er ist,46.54
er,soll er,46.54
soll er,er,46.54
Achtel-Finale,Champions,46.54
Champions,Achtel-Finale,46.54
er ist,er,46.54
80,alt,46.52
alt,80,46.52
wütend,sind,46.48
sind,einverstanden,46.48
sind,wütend,46.48
einverstanden,sind,46.48
berichten,Journalisten,46.47
Journalisten,berichten,46.47
der,SPD,46.46
SPD,der,46.46
zum,gewählt,46.45
gewählt,zum,46.45
Tag,am Tag,46.43
kein Mensch,Mensch,46.43
Tag,jeden Tag,46.43
Mensch,kein Mensch,46.43
Vertrag schließen,Vertrag,46.43
russischen,Sotschi,46.43
am Tag,Tag,46.43
einen Vertrag schließen,Vertrag,46.43
jeden Tag,Tag,46.43
Sotschi,russischen,46.43
Vertrag,einen Vertrag schließen,46.43
Vertrag,Vertrag schließen,46.43
Der,von,46.4
Team,Vettel,46.4
Vettel,Team,46.4
von,Der,46.4
stärker werden,schneller,46.39
Krim,Halb-Insel,46.39
gläubige,Muslime,46.39
Halb-Insel,Krim,46.39
schneller,stärker werden,46.39
Muslime,gläubige,46.39
unentschieden,Spiel,46.34
Spiel,unentschieden,46.34
wurde,bester,46.33
bester,wurde,46.33
dass,glaubt,46.31
glaubt,dass,46.31
League,Achtel-Finale,46.31
Achtel-Finale,League,46.31
Die Partei,SPD,46.25
SPD,Die Partei,46.25
Gesetz,das,46.24
das,Gesetz,46.24
darauf,,,46.2
,,darauf,46.2
Der,Bischof,46.18
Bischof,Der,46.18
allem,Vor,46.15
Vor,allem,46.15
Mannschaft,zu 1,46.13
zu 1,Mannschaft,46.13
mehr als,Hälfte,46.07
Hälfte,mehr als,46.07
bekannt gegeben,Jahr,46.05
Jahr,bekannt gegeben,46.05
darf,nicht mehr,46.03
Deutsche,Verein Deutsche Sprache,46.03
Deutsche Sprache,Deutsche,46.03
Bundes-Land,in dem,46.03
Deutsche,Deutsche Sprache,46.03
Verein Deutsche Sprache,Deutsche,46.03
in dem,Bundes-Land,46.03
nicht mehr,darf,46.03
,,um,46.02
um,,,46.02
Mars,Planeten,46.02
Planeten,Mars,46.02
Parteien,zusammentun,46.01
zusammentun,Parteien,46.01
der,1.,45.99
1.,der,45.99
ist,ist auf,45.98
ist auf,ist,45.98
Präsidenten,den,45.97
den,Präsidenten,45.97
Präsident,Janukowitsch,45.97
Janukowitsch,Präsident,45.97
geworden,Jahre alt,45.96
hat,getan,45.96
Jahre alt,geworden,45.96
getan,hat,45.96
Europa-Meister,Mal,45.95
Mal,Europa-Meister,45.95
zu,zu sein,45.94
machen,welche,45.94
zu sein,zu,45.94
welche,machen,45.94
wichtige,eine,45.92
eine,wichtige,45.92
vom,DFB-Pokal,45.9
DFB-Pokal,vom,45.9
Menschen,Sehr,45.85
Sehr,Menschen,45.85
im Wasser,Wasser,45.84
Wasser,im Wasser,45.84
den,in,45.83
in,den,45.83
in der Stadt,Leipzig,45.79
Leipzig,in der Stadt,45.79
Jahren,zehn,45.76
zehn,Jahren,45.76
überlegen,ob,45.72
ob,überlegen,45.72
noch,weitere,45.71
ERT,Sender,45.71
weitere,noch,45.71
Sender,ERT,45.71
Graf,Peter,45.69
hat,Der,45.69
Peter,Graf,45.69
Der,hat,45.69
schwer verletzt,verletzt,45.65
verletzt,schwer verletzt,45.65
Janukowitsch,Viktor Janukowitsch,45.63
Jim,Morrison,45.63
Matthias Platzeck,Platzeck,45.63
Li,Li Na,45.63
Klavier,Kuhn,45.63
Platzeck,Matthias Platzeck,45.63
Stück,kleines Stück,45.63
Jim,Jim Morrison,45.63
Jim Morrison,Jim,45.63
Andrea,Arbeits-Ministerin,45.63
Ottmar,Walter,45.63
Arbeits-Ministerin,Nahles,45.63
Ring,Der Ring,45.63
Palast der Republik,Republik,45.63
Zentral-Afrikanischen,Republik,45.63
Morrison,Jim,45.63
überholen,nicht überholen,45.63
Ring,Ring des Nibelungen,45.63
Julia,Julia Timoschenko,45.63
Team-Chef,überholen,45.63
Nahles,Arbeits-Ministerin,45.63
Ring,Nibelungen,45.63
Palast,Republik,45.63
