word,word,sig
Deutschland,aus Deutschland,253.96
Die Grünen,Grünen,253.67
Grünen,Die Grünen,253.67
schon lange,lange,253.47
lange,schon lange,253.47
Nähe,in der Nähe,251.82
in der Nähe,Nähe,251.82
immer noch,noch,248.24
noch,immer noch,248.24
Olympischen Spielen,Olympischen,246.72
Olympischen,Olympischen Spielen,246.72
Nelson Mandela,Nelson,246.21
Nelson,Nelson Mandela,246.21
,,was,245.63
was,,,245.63
zu,1,244.58
1,zu,244.58
sagt,:,243.9
:,sagt,243.9
aus,Mannschaft,243.82
Mannschaft,aus,243.82
Madrid,Real Madrid,242.63
Real Madrid,Real,242.63
Real Madrid,Madrid,242.63
Real,Real Madrid,242.63
Union,Europäische Union,242.62
Europäische Union,Union,242.62
,,nicht,241.09
nicht,,,241.09
:,“,241.08
“,:,241.08
Jahren,vor,241.03
vor,Jahren,241.03
Christian Wulff,Wulff,240.86
Wulff,Christian Wulff,240.86
sehr viel,viel,240.18
viel,sehr viel,240.18
viele,sehr viele,238.68
sehr viele,viele,238.68
vor allem,vor,236.96
vor,vor allem,236.96
Wulff,Christian,236.78
Christian,Wulff,236.78
Angela,Bundes-Kanzlerin,234.36
Angela Merkel,Bundes-Kanzlerin,234.36
Bundes-Kanzlerin,Angela Merkel,234.36
Bundes-Kanzlerin,Angela,234.36
Annette,Schavan,234.25
Annette Schavan,Schavan,234.25
Schavan,Annette Schavan,234.25
Schavan,Annette,234.25
Mal,zum,233.26
zum,Mal,233.26
Vereinten,Vereinten Nationen,232.76
Vereinten Nationen,Vereinten,232.76
Ländern,aus,231.92
aus,Ländern,231.92
wenn,,,230.5
,,wenn,230.5
kommt,aus,230.25
aus,kommt,230.25
Spielen,Olympischen,228.19
Olympischen,Spielen,228.19
aus Deutschland,aus,226.24
aus,aus Deutschland,226.24
Mandela,Nelson,226.2
Mandela,Nelson Mandela,226.2
Nelson,Mandela,226.2
Nelson Mandela,Mandela,226.2
aber,nicht,225.88
nicht,aber,225.88
Madrid,Real,225.72
Real,Madrid,225.72
0,zu,225.55
zu,0,225.55
Nationen,Vereinten,225.28
Enrico,Enrico Letta,225.28
Nationen,Vereinten Nationen,225.28
Vereinten,Nationen,225.28
Enrico Letta,Enrico,225.28
Vereinten Nationen,Nationen,225.28
an die,an,225.13
an,an die,225.13
mit,Toren,223.59
Toren,mit,223.59
gegen,Mannschaft,223.03
Mannschaft,gegen,223.03
In,es,220.03
es,In,220.03
zu 1,zu,219.71
zu,zu 1,219.71
Europäische,Union,217.19
Union,Europäische,217.19
,,wie,216.59
wie,,,216.59
Es war,war,214.32
war,Es war,214.32
Mario Götze,Mario,213.21
Mario,Mario Götze,213.21
Die Regierung,Die,213.19
Die,Die Regierung,213.19
er,hat,212.96
hat,er,212.96
sagte,nach,212.14
nach,sagte,212.14
arbeiten,zusammen arbeiten,211
zusammen arbeiten,arbeiten,211
schon,schon lange,210.72
schon lange,schon,210.72
Mario Götze,Götze,210.27
Enrico Letta,Letta,210.27
Letta,Enrico Letta,210.27
Götze,Mario Götze,210.27
an den,an,208.82
an,an den,208.82
zusammen arbeiten,zusammen,207.06
zusammen,zusammen arbeiten,207.06
noch,noch einmal,206.43
noch einmal,noch,206.43
nach dem,Spiel,205.3
Spiel,nach dem,205.3
,,er,204.19
er,,,204.19
den,USA,204.03
USA,den,204.03
sehr viel,sehr,204.02
sehr,sehr viel,204.02
Edward,Snowden,203.27
Snowden,Edward,203.27
Enrico,Letta,202.79
Letta,Enrico,202.79
es,um,202.31
um,es,202.31
Das Spiel,Das,202.21
Das,Das Spiel,202.21
geschossen,Tore,201.92
Tore,geschossen,201.92
lange Zeit,Zeit,200.82
Zeit,lange Zeit,200.82
vor,Gericht,198.73
Gericht,vor,198.73
Jahres,des,198.04
des,Jahres,198.04
Rede,gehalten,197.7
gehalten,Rede,197.7
Der Chef,Chef,196.58
Chef,Der Chef,196.58
Euro,Millionen,196.54
Millionen,Euro,196.54
Obama,Barack Obama,196.28
Obama,Barack,196.28
Barack,Obama,196.28
Barack Obama,Obama,196.28
ein,ist,195.63
ist,ein,195.63
:,Ich,195.5
Ich,:,195.5
allem,vor,195.16
vor,allem,195.16
ist,geworden,195.15
geworden,ist,195.15
Weltkrieg,2. Weltkrieg,193.67
2. Weltkrieg,Weltkrieg,193.67
Schalke 04,04,191.57
04,Schalke 04,191.57
Mario,Götze,190.72
Götze,Mario,190.72
lang,Jahre,190.35
Jahre,lang,190.35
Partei,SPD,189.42
SPD,Partei,189.42
lange Zeit,lange,189.05
lange,lange Zeit,189.05
so viel,so,187.48
so,so viel,187.48
Die,Die Polizei,186.86
Die Polizei,Die,186.86
United,Manchester United,184.52
Manchester United,United,184.52
mit,zusammen,184.1
zusammen,mit,184.1
so viel,viel,183.46
viel,so viel,183.46
einen,neuen,181.94
neuen,einen,181.94
ein,großes,180.84
großes,ein,180.84
1,gewonnen,179.87
gewonnen,1,179.87
Michael Schumacher,Schumacher,179.55
Schumacher,Michael Schumacher,179.55
gehört zu,gehört,177.89
gehört,gehört zu,177.89
Lance,Lance Armstrong,177.52
Los Angeles,Los,177.52
New York,York,177.52
Angeles,Los,177.52
Los,Los Angeles,177.52
Lance Armstrong,Lance,177.52
Angeles,Los Angeles,177.52
New,York,177.52
Los,Angeles,177.52
York,New York,177.52
New,New York,177.52
York,New,177.52
Los Angeles,Angeles,177.52
New York,New,177.52
der,von,176.9
von,der,176.9
nicht,dass,175.67
dass,nicht,175.67
Preis,bekommen,173.94
bekommen,Preis,173.94
In,Land,173.7
Land,In,173.7
Manchester United,Manchester,173.57
Manchester,Manchester United,173.57
nicht nur,nur,173.49
nur,nicht nur,173.49
Toren,zu,172.64
zu,Toren,172.64
im,Jahr,172.13
Jahr,im,172.13
Experten,Die Experten,170.96
Die Experten,Experten,170.96
Gauck,Joachim Gauck,170.83
Joachim Gauck,Gauck,170.83
die,Mannschaft,170.19
Mannschaft,die,170.19
Ende,Am Ende,169.61
Am Ende,Ende,169.61
Joachim,Joachim Gauck,169.41
Joachim Gauck,Joachim,169.41
Fußball-Verein,Bayern München,169.21
Bayern München,Fußball-Verein,169.21
Linke,Die Linke,168.65
Die Linke,Linke,168.65
Film,“,166.92
“,Film,166.92
Manchester,United,166.52
United,Manchester,166.52
Michael Schumacher,Michael,165.56
Michael,Michael Schumacher,165.56
auf,Straße,164.63
Straße,auf,164.63
nicht,nicht richtig,164.12
nicht richtig,nicht,164.12
er,er hat,163.66
er hat,er,163.66
Jan Ullrich,Ullrich,163.29
de France,France,163.29
Jan Ullrich,Jan,163.29
freut,freut sich,163.29
freut sich,freut,163.29
Peer Steinbrück,Peer,163.29
Ullrich,Jan Ullrich,163.29
Jan,Jan Ullrich,163.29
Jan,Ullrich,163.29
Peer,Peer Steinbrück,163.29
Ullrich,Jan,163.29
France,de France,163.29
Formel,Vettel,163.11
Vettel,Formel,163.11
ganzen,auf der ganzen Welt,163.07
auf der ganzen Welt,ganzen,163.07
Lance Armstrong,Armstrong,162.97
Lance,Armstrong,162.97
Armstrong,Lance,162.97
Armstrong,Lance Armstrong,162.97
Ich,habe,162.8
habe,Ich,162.8
Formel,Formel 1,161.2
Formel 1,Formel,161.2
gegen,gewonnen,160.73
gewonnen,gegen,160.73
CDU,SPD,159.48
SPD,CDU,159.48
,,wer,158.43
wer,,,158.43
1.,1. Mal,158.28
1. Mal,1.,158.28
Ende,zu Ende,157.98
zu Ende,Ende,157.98
Mal,ersten,157.34
ersten,Mal,157.34
sind,Menschen,156.82
Menschen,sind,156.82
bin,Ich,156.76
Ich,bin,156.76
Land,USA,156.5
USA,Land,156.5
auf die Straße,auf,156.48
auf,auf die Straße,156.48
Bundes-Präsident,Gauck,156.19
Gauck,Bundes-Präsident,156.19
Tor,geschossen,155.99
geschossen,Tor,155.99
Tage lang,Tage,155.8
Tage,Tage lang,155.8
Jury,Die Jury,155.68
Die Jury,Jury,155.68
Geld,bekommen,154.57
bekommen,Geld,154.57
Englisch,bedeutet,154.14
bedeutet,Englisch,154.14
gespielt,hat,153.86
hat,gespielt,153.86
Internet,im,153.79
im,Internet,153.79
1. Mal,Mal,153.44
Mal,1. Mal,153.44
der,an der,153.33
an der,der,153.33
fest,steht,153.16
steht,fest,153.16
dass,finden,153.03
finden,dass,153.03
Rennen,Das Rennen,152.04
Das Rennen,Rennen,152.04
ganz Deutschland,ganz,152.03
ganz,ganz Deutschland,152.03
so,,,151.53
,,so,151.53
gut,nicht,151.42
nicht,gut,151.42
Krieg,Syrien,150.73
Syrien,Krieg,150.73
Film,”,150.4
”,Film,150.4
Bodo Ramelow,Ramelow,148.86
Markus Lanz,Lanz,148.86
David Bowie,Bowie,148.86
Bodo,Ramelow,148.86
Nadine Angerer,Nadine,148.86
Wladimir,Wladimir Putin,148.86
Lanz,Markus Lanz,148.86
Jupp Heynckes,Jupp,148.86
Nadine,Nadine Angerer,148.86
Jupp,Jupp Heynckes,148.86
Margaret,Margaret Thatcher,148.86
Bodo Ramelow,Bodo,148.86
Ramelow,Bodo Ramelow,148.86
Bowie,David Bowie,148.86
Wladimir Putin,Wladimir,148.86
Margaret Thatcher,Margaret,148.86
Bodo,Bodo Ramelow,148.86
Ramelow,Bodo,148.86
Die Stadt,Stadt,148.82
Stadt,Die Stadt,148.82
CDU,und,146.11
und,CDU,146.11
heißt,“,145.4
“,heißt,145.4
finden,gut,145.07
gut,finden,145.07
nach dem,:,144.77
:,nach dem,144.77
Ländern,vielen,144.71
vielen,Ländern,144.71
Ländern,verschiedenen,144.62
verschiedenen,Ländern,144.62
zusammen,arbeiten,144.53
arbeiten,zusammen,144.53
Papst,Franziskus,144.31
Franziskus,Papst,144.31
an dem,an,143.96
an,an dem,143.96
sind,gestorben,143.78
gestorben,sind,143.78
Preis,den,143.25
den,Preis,143.25
finden,,,142.46
,,finden,142.46
France,Tour de France,142.35
München,Fußball-Verein,142.35
Heynckes,Jupp Heynckes,142.35
Heynckes,Jupp,142.35
Mark Webber,Mark,142.35
Tour de France,France,142.35
Mark,Mark Webber,142.35
Jupp,Heynckes,142.35
Fußball-Verein,München,142.35
Jupp Heynckes,Heynckes,142.35
de France,Tour de France,142.35
Tour de France,de France,142.35
dem,nach,142.27
nach,dem,142.27
Schalke,Schalke 04,142
04,Schalke,142
Schalke 04,Schalke,142
Schalke,04,142
ganzen,der,141.94
der,ganzen,141.94
von,Präsident,141.3
Präsident,von,141.3
will,dass,140.76
dass,will,140.76
gegen,0,139.79
0,gegen,139.79
Schumacher,Michael,139.68
Michael,Schumacher,139.68
darf,darf nicht,138.58
darf nicht,darf,138.58
Steinbrück,Peer Steinbrück,138.56
Steinbrück,Peer,138.56
Peer,Steinbrück,138.56
Peer Steinbrück,Steinbrück,138.56
Tour de France,Tour,138.43
Tour,Tour de France,138.43
Nadine Angerer,Angerer,138.43
Angerer,Nadine Angerer,138.43
Angerer,Nadine,138.43
Nadine,Angerer,138.43
